Mode	X(m)	Y(m)	Z(m)	Power(W)	tParam
0	0.042721	-0.046112	0.000000	350	0.799
0	0.042691	-0.046190	0.000000	0	0.004
0	0.055157	-0.053389	0.000000	350	0.8
0	0.055127	-0.053467	0.000000	0	0.004
0	0.042679	-0.046279	0.000000	350	0.8
0	0.042656	-0.046356	0.000000	0	0.004
0	0.055043	-0.053514	0.000000	350	0.799
0	0.054990	-0.053574	0.000000	0	0.004
0	0.042650	-0.046452	0.000000	350	0.799
0	0.042608	-0.046523	0.000000	0	0.004
0	0.054907	-0.053621	0.000000	350	0.8
0	0.054871	-0.053693	0.000000	0	0.004
0	0.042614	-0.046618	0.000000	350	0.8
0	0.042578	-0.046696	0.000000	0	0.005
0	0.054788	-0.053740	0.000000	350	0.8
0	0.054728	-0.053800	0.000000	0	0.004
0	0.042596	-0.046797	0.000000	350	0.799
0	0.042542	-0.046862	0.000000	0	0.005
0	0.054651	-0.053853	0.000000	350	0.8
0	0.054585	-0.053907	0.000000	0	0.005
0	0.042560	-0.046963	0.000000	350	0.799
0	0.042525	-0.047041	0.000000	0	0.005
0	0.054502	-0.053955	0.000000	350	0.799
0	0.054454	-0.054020	0.000000	0	0.004
0	0.042542	-0.047148	0.000000	350	0.8
0	0.042501	-0.047213	0.000000	0	0.004
0	0.054359	-0.054062	0.000000	350	0.8
0	0.054312	-0.054127	0.000000	0	0.004
0	0.042525	-0.047326	0.000000	350	0.799
0	0.042483	-0.047392	0.000000	0	0.004
0	0.054222	-0.054169	0.000000	350	0.8
0	0.054151	-0.054228	0.000000	0	0.005
0	0.042501	-0.047499	0.000000	350	0.8
0	0.042483	-0.047582	0.000000	0	0.005
0	0.054062	-0.054270	0.000000	350	0.799
0	0.054008	-0.054329	0.000000	0	0.004
0	0.042495	-0.047683	0.000000	350	0.8
0	0.042471	-0.047767	0.000000	0	0.005
0	0.053907	-0.054365	0.000000	350	0.799
0	0.053847	-0.054425	0.000000	0	0.005
0	0.042489	-0.047868	0.000000	350	0.8
0	0.042465	-0.047951	0.000000	0	0.005
0	0.053752	-0.054466	0.000000	350	0.8
0	0.053669	-0.054514	0.000000	0	0.005
0	0.042489	-0.048058	0.000000	350	0.799
0	0.042471	-0.048141	0.000000	0	0.005
0	0.053580	-0.054556	0.000000	350	0.799
0	0.053514	-0.054615	0.000000	0	0.005
0	0.042489	-0.048249	0.000000	350	0.799
0	0.042477	-0.048332	0.000000	0	0.005
0	0.053419	-0.054651	0.000000	350	0.8
0	0.053354	-0.054710	0.000000	0	0.005
0	0.042501	-0.048445	0.000000	350	0.799
0	0.042483	-0.048528	0.000000	0	0.005
0	0.053241	-0.054740	0.000000	350	0.8
0	0.053157	-0.054788	0.000000	0	0.006
0	0.042519	-0.048641	0.000000	350	0.799
0	0.042507	-0.048730	0.000000	0	0.005
0	0.053050	-0.054817	0.000000	350	0.8
0	0.052979	-0.054871	0.000000	0	0.005
